DESCRIPTION,PON,NUMERO,SERIAL,MODELO
brunahlv,2,1,HWTCb72f23a3,HS8145V5
cmirandab,2,2,HWTC5c1661a3,HS8145V5
isabellamg,2,3,HWTC3a69e0a3,HS8145V5
elianeac,2,4,ZTEGd08934e7,F612V9.2
tatianecsr,2,5,ZTEGc4a60de4,F680V6.0.03
josesantana,2,6,ZTEGc437fb57,F680V6.0.03
elainepf,2,7,ZTEGc4a6136a,F680V6.0.03
nildaaol,2,8,ZTEGd0223d1e,F601V7.0
