DESCRIPTION,PON,NUMERO,SERIAL,MODELO
idiasmardo,1,1,ZTEGd0890241,F612V9.2
gabrielmmartins,1,2,ZTEGcec64fd0,F601V7.0
patriciasc,1,3,ZTEGcec9902a,F601V7.0
andreweml,1,4,ZTEGcec9905a,F601V7.0
hortenciamdc,1,5,ZTEGd08902ef,F612V9.2
claudeanrs,1,6,ZTEGcec2cf7a,F601V7.0
galvesv,1,7,ZTEGc4adb184,F680V6.0.03
ivanbs,1,8,FHTT91ea02e0,AN5506-01-A1
cleidemr,1,9,HWTC359e5e9c,HG8546M
wellersonbj,1,10,HWTCa5179da0,HS8145V5
fabioroe,1,11,ZTEGc4ad8642,F680V6.0.03
rosalinafortunatads,1,12,HWTCe21cf99f,HS8145V5
mauriliors,1,13,ZTEGd089129e,F612V9.2
PON[4]-AN5506-04-FAT[29],1,14,ZTEGc4ad9f67,F680V6.0.03
cdsilval,1,15,HWTCeaccad9f,HS8145V5
masouza,1,16,FHTT0506d7a8,AN5506-01-A1
PON[4]-AN5506-01-A1[8],1,17,FHTT14bd5c88,AN5506-01-A1
PON[4]-AN5506-04-FAT[4],1,18,ZTEGc8ffc232,F680V6.0.03
