DESCRIPTION,PON,NUMERO,SERIAL,MODELO
lucasddas,11,1,ZTEGc4adb29d,F680V6.0.03
dayannamcn,11,2,ZTEGcec27c02,F601V7.0
wferreiras,11,3,HWTCc268909e,HS8145V
jvictorea,11,4,HWTCad6bc8a0,HS8145V5
marcospop,11,5,FHTT10b6e950,AN5506-01-A1
vandamg,11,6,ZTEGc4380aa8,F680V6.0.03
elimirandas,11,7,ZTEGc4a6162c,F680V6.0.03
kallebdop,11,8,ZTEGc4ada6e3,F680V6.0.03
rafaellagp,11,9,FHTT10196038,AN5506-01-A1
tonycrj,11,10,ZTEGcec27a7e,F601V7.0
jmariof,11,11,FHTT03b68050,AN5506-01-A1
lucasfferreira,11,12,FHTT10de0490,AN5506-01-A1
mariaedfv,11,13,ZTEGc4380d71,F680V6.0.03
raqueltbdam,11,14,ZTEGc79536a2,F6600V1.0
marcosdf,11,15,ZTEGcec68134,F601V7.0
dhessicalmv,11,16,ZTEGcec2cfc7,F601V7.0
fernandozs,11,17,ZTEGc4a640e6,F680V6.0.03
davydpp,11,18,ZTEGc4a636a7,F680V6.0.03
asilvasl,11,19,ZTEGc4ad8653,F680V6.0.03
nayladeoc,11,20,ZTEGd089025e,F612V9.2
