DESCRIPTION,MODELO,NUMERO,SERIAL,PON
tcristinabs,AN5506,1,ZTEGc4a6403f,5
laudianesla,AN5506,2,FHTT073d8708,5
edinaldojesuss,AN5506,3,FHTT069f6800,5
danielcg,AN5506,4,FHTT10195f10,5
llemesm,AN5506,5,FHTT91060ec0,5
mariag,AN5506,6,FHTT10db6aa8,5
deoclecianogp,AN5506,7,ZTEGc4a615b8,5
marcondessp,AN5506,8,FHTT056c5a58,5
carlosho,AN5506,9,FHTT91063a38,5
samueldsg,AN5506,10,FHTT0463faf8,5
karinersl,AN5506,11,FHTT101b2cd8,5
jguerrad,HG260,12,HWTC3a54f1a3,5
florindapg,AN5506,13,FHTT910637f8,5
murilohpc,AN5506,14,ZTEGd0893501,5
joselms,AN5506,15,FHTT10db8de8,5
elainerdemoraes,AN5506,16,FHTT054a7158,5
stephaniecas,AN5506,17,ZTEGcecdbe95,5
lucaspt,AN5506,18,FHTT114625e0,5
marcosag,HG260,19,HWTC2b3ff19b,5
cesarasc,AN5506,20,FHTT03e0fa68,5
telmacbs,AN5506,21,ZTEGc4a64757,5
ivonecmds,HG260,22,HWTCe21cfd9f,5
egmarom,AN5506,23,ZTEGc8fdb8a4,5
janchietao,HG260,24,HWTCe221139f,5
deividjs,AN5506,25,ZTEGd022476e,5
nismarjb,AN5506,26,ZTEGc437f129,5
edjesuss,AN5506,27,FHTT155ee868,5
kalitahqa,HG260,28,HWTCd47eb19f,5
chestersc,AN5506,29,ZTEGcec989c8,5
plimab,AN5506,30,FHTT1006d618,5
thatiellacarmoc,HG260,31,HWTC6376425d,5
heudesmt,HG260,32,HWTCb147479d,5
milsonalvesp,AN5506,33,FHTT10db8bd8,5
renatarr,AN5506,34,ZTEGc4a619d9,5
brunasp,HG260,35,HWTC1535f33c,5
amandacsilva,AN5506,36,ZTEGc4ad8655,5
alessandralcc,HG260,37,HWTCeb41189f,5
lcdsantos,AN5506,38,FHTT044b42c0,5
fernandacandidadeoliveira,AN5506,39,ZTEGccebb5aa,5
lorrainema,AN5506,40,FHTT07e79cb8,5
raisamneres,HG260,41,HWTCb198419d,5
pedroht,AN5506,42,FHTT11b8f958,5
hellensgg,AN5506,43,ZTEGc8ef4202,5
elizabethgx,HG260,44,HWTC548e09a3,5
maxlbc,HG260,45,HWTC3a55b1a3,5
maxuelpra,AN5506,46,ZTEGd0226cca,5
uilsonagn,HG260,47,HWTCe5846e9f,5
fnrodrigues,AN5506,48,ZTEGc795387f,5
elainecriss,AN5506,49,ZTEGc4ada6f1,5
margarethsf,HG260,50,HWTCeb12949f,5
auliabefm,AN5506,51,ZTEGd08907f5,5
katielerp,HG260,52,HWTC2adc4ea5,5
PON[4]-HG260[39],HG260,53,HWTC3143a5a5,5
gersong,HG260,54,HWTCa284009b,5
marcelof,AN5506,55,FHTT10d85478,5
wanderleijo,AN5506,56,ZTEGc4a63498,5
odineysr,HG260,57,HWTC3b47659c,5
zelicr,HG260,58,HWTC3a6044a3,5
rafaelss,AN5506,59,ZTEGc79533bd,5
PON[4]-HG260[54],HG260,60,HWTC9f4dbaa0,5
robertoms,AN5506,61,ZTEGc795340e,5
alcionemf,AN5506,62,ZTEGc4a62a17,5
anacgdsa,AN5506,63,ZTEGc8ffbd4b,5
jonathanasl,AN5506,64,ZTEGc79539f9,5
rafaeldg,AN5506,65,ZTEGc4adb44a,5
sergiohtc,AN5506,66,ZTEGc437fb80,5
psamaraso,HG260,67,HWTC2ba26e9b,5
