DESCRIPTION,PON,NUMERO,SERIAL,MODELO
anaclaudiasb,15,1,HWTC3a6a49a3,HS8145V5
karolaynei,15,2,ZTEGc4ada3b8,F680V6.0.03
josycnsp,15,3,HWTC931c23a2,HS8145V5
elianeso,15,4,HWTC3a67b9a3,HS8145V5
aferreiral,15,5,HWTCe235b0a3,HS8145V5
jesicasj,15,6,HWTC5c1654a3,HS8145V5
carlosrms,15,7,HWTC3a5e5da3,HS8145V5
eslianesdo,15,8,HWTC3a75a3a3,HS8145V5
mateuscr,15,9,HWTC3a5eeba3,HS8145V5
mcleusam,15,10,ZTEGc41a2e48,F601
angelicalaa,15,11,HWTCe61d9aa3,HS8145V5
msantoss,15,12,HWTC932042a2,HS8145V5
layzzafo,15,13,ZTEGc4ada2e6,F680V6.0.03
carmendesbr,15,14,HWTCe220639f,HS8145V5
lucassilvab,15,15,HWTC317ea4a5,HS8145V5
andrelba,15,16,HWTC38c418a4,HS8145V5
geovannebaa,15,17,HWTC91b901a0,HS8145V5
anacss,15,18,HWTCb78b06a0,HS8145V5
leandrolbs,15,19,ZTEGc8fda0b8,F680V6.0.03
nathaliaff,15,20,HWTC84ea209e,HS8145V
PON[1]-HG260[26],15,21,HWTC84ef619e,HS8145V
gaguiarps,15,22,ZTEGc437f097,F680V6.0.03
PON[1]-AN5506-04-FAT[29],15,23,ZTEGc4380da1,F680V6.0.03
juliocvrca,15,24,ZTEGc4ad9d5a,F680V6.0.03
saraccs,15,25,ZTEGc4ada31b,F680V6.0.03
aluisaa,15,26,ZTEGd08912f7,F612V9.2
davidpc,15,27,ZTEGd022476d,F601V7.0
