DESCRIPTION,PON,NUMERO,SERIAL,MODELO
VV-jessicaasf,16,1,HWTC066f4996,HG8546M
enedinass,16,2,FHTT05136330,AN5506-01-A1
lilianech,16,3,FHTT910ca548,AN5506-01-A1
PON[3]-AN5506-04-FAT[9],16,4,ZTEGc8ffbd15,F680V6.0.03
edimarciaaparecidasilva,16,5,HWTC5487e3a3,HS8145V5
paulalfl,16,6,HWTCc72f8d8b,HG8546M
anapmr,16,7,HWTC066cb296,HG8546M
marciolm,16,8,ZTEGc8ffc2e2,F680V6.0.03
valdessoncdasneves,16,9,FHTT1019b608,AN5506-01-A1
dsouzaborges,16,10,FHTT03ec7898,AN5506-01-A1
lidianepoc,16,11,HWTC9f4db0a0,HS8145V5
mariaasousav,16,12,HWTC84f3529e,HS8145V
wiresob,16,13,ZTEGc4adb347,F680V6.0.03
salvadorrm,16,14,ZTEGc4ada1d8,F680V6.0.03
jesielrl,16,15,FHTT10a3ae78,AN5506-01-A1
paulojs,16,16,FHTT91100120,AN5506-01-A1
jackelineads,16,17,FHTT05280de0,AN5506-04-B2
valdirfsousa,16,18,ZTEGc8ffc22a,F680V6.0.03
VV-wesleygdm,16,19,HWTC2689443c,HG8546M
thiagoass,16,20,HWTC88283ca2,HS8145V5
belchioropereira,16,21,ZTEGc4ada2eb,F680V6.0.03
joaopor,16,22,ZTEGc4adc33a,F680V6.0.03
robertocc,16,23,ZTEGcec2cfb7,F601V7.0
AN5516-01(FH-CT-OLT)-GCOB[4]-PON[3]-HG260[44],16,24,HWTC85c01f9e,HS8145V
alinepsq,16,25,ZTEGc4ada186,F680V6.0.03
juniorbl,16,26,ZTEGcecde3f8,F601V7.0
eduardacvr,16,27,ZTEGcecde1e5,F601V7.0
gjuniorc,16,28,ZTEGcec676fa,F601V7.0
elianegbv,16,29,ZTEGc437fa48,F680V6.0.03
osmarac,16,30,ZTEGd0890262,F612V9.2
mjosev,16,31,ZTEGc4adb384,F680V6.0.03
mariajbdo,16,32,FHTT10dc30a0,AN5506-01-A1
yuridcg,16,33,ZTEGc7953411,F6600V1.0
