DESCRIPTION,PON,NUMERO,SERIAL,MODELO
lteixeirac,14,1,HWTC85bb939e,HS8145V
renatascarvalho,14,2,FHTT10de0430,AN5506-01-A1
mpcarvalho,14,3,HWTC84fc9b9e,HS8145V
jessycama,14,4,FHTT910ffcf8,AN5506-01-A1
adrianaribeiros,14,5,FHTT07e6bdf8,AN5506-01-A1
lgrabrieller,14,6,ZTEGcecdf8df,F601V7.0
leidegro,14,7,HWTC85c0369e,HS8145V
vv-rubiafdm,14,8,HWTCa252f09b,HG8546M
VV-damianadsm,14,9,HWTC69beeb9b,HG8546M
larissasc,14,10,FHTT10195ff8,AN5506-01-A1
nmariabr,14,11,HWTC4956639e,HG8546M
leiarso,14,12,HWTC3a7914a3,HS8145V5
jantonior,14,13,HWTC3a7cd8a3,HS8145V5
llourdesfg,14,14,FHTT2d3b1818,AN5506-02-B
kauanescv,14,15,ZTEGcecdf7e3,F601V7.0
luizcro,14,16,ZTEGc4ada33f,F680V6.0.03
angelamlr,14,17,FHTT10129d70,AN5506-01-A1
silvioccma,14,18,ZTEGcecde031,F601V7.0
