DESCRIPTION,PON,NUMERO,SERIAL,MODELO
dorciliaas,15,1,FHTT104c7f48,AN5506-01-A1
bbox,15,2,ZTEGc4a64076,F680V6.0.03
conselhoecg,15,3,FHTT03e2cc48,AN5506-01-A1
PON[2]-AN5506-01-A1[8],15,4,FHTT10a3eec8,AN5506-01-A1
agomess,15,5,ZTEGc8ffbcec,F680V6.0.03
julianarn,15,6,ZTEGc437d9ed,F680V6.0.03
lcamposms,15,7,HWTC84e9fb9e,HS8145V
yanm,15,8,ZTEGc4a64126,F680V6.0.03
vferreiram,15,9,ZTEGc437de2d,F680V6.0.03
mosalinabadialopes,15,10,FHTT15ddb528,AN5506-01-A1
PON[2]-AN5506-01-A1[23],15,11,FHTT03e53100,AN5506-01-A1
elzamsousa,15,12,FHTT1531c7d0,AN5506-01-A1
msantosc,15,13,HWTCb7a6b6a0,HS8145V5
danapolispnsf,15,14,HWTCb1ee649d,HS8145V
vctorgsf,15,15,ZTEGcecdcc2e,F601V7.0
mariajcs,15,16,FHTT2d367f78,AN5506-02-B
danapolispnsf,15,17,HWTC85b7e39e,HS8145V
rayannesmm,15,18,ZTEGc4ada34e,F680V6.0.03
acristinasc,15,19,FHTT097dfa90,AN5506-04-A1
kfdeus,15,20,ZTEGc4ad9ff5,F680V6.0.03
diegorfln,15,21,ZTEGd0891301,F612V9.2
vblopes,15,22,ZTEGd0891310,F612V9.2
mariadpdm,15,23,ZTEGd0891368,F612V9.2
gustavomc,15,24,ZTEGcec2cfb6,F601V7.0
sandraoag,15,25,ZTEGcecdcaa8,F601V7.0
VV-nelsinoribeirob,15,26,HWTC066f0896,HG8546M
mariafernandesr,15,27,ZTEGc7953733,F6600V1.0
orosinoll,15,28,ZTEGc8ffc39e,F680V6.0.03
