DESCRIPTION,PON,NUMERO,SERIAL,MODELO
rogerioaa,8,1,ZTEGd08902f4,F612V9.2
dayanepsilvas,8,2,FHTT10dc3058,AN5506-01-A1
hemilywdc,8,3,ZTEGc8fc0a4d,F680V6.0.03
elecinalmg,8,4,HWTC5822109f,HS8145V5
wesleyma,8,5,ZTEGc8fdb933,F680V6.0.03
arcebiliopjs,8,6,ZTEGc4adb332,F680V6.0.03
elizabetcc,8,7,HWTCe21d729f,HS8145V5
rafaeladsi,8,8,HWTCb1e6129d,HS8145V
anaceliamm,8,9,ZTEGc437e149,F680V6.0.03
gezibeugc,8,10,HWTC5c1446a3,HS8145V5
VV-josecdmorais,8,11,FHTT10d84140,AN5506-01-A1
gabrielmoraesm,8,12,FHTT06f52d00,AN5506-04-B2
wilkerrs,8,13,FHTT91063900,AN5506-01-A1
gabrielmd,8,14,HWTC84f8fa9e,HS8145V
eduardooc,8,15,ZTEGd0226ebc,F601V7.0
vanuziavirgiliojm,8,16,ZTEGcec672aa,F601V7.0
ritachv,8,17,FHTT10da5fa0,AN5506-01-A1
