DESCRIPTION,PON,NUMERO,SERIAL,MODELO
fabiofo,2,1,HWTC9f4dcca0,HS8145V5
fdsantos,2,2,HWTCeb414f9f,HS8145V5
jgoncalvess,2,3,ZTEGc4a61d35,F680V6.0.03
poliveiras,2,4,HWTCe235b9a3,HS8145V5
PON[5]-AN5506-04-FAT[38],2,5,ZTEGc7953811,F6600V1.0
asantospg,2,6,HWTC58340e9f,HS8145V5
antoniojpl,2,7,HWTC84fe1b9e,HS8145V
ifbatistaa,2,8,ZTEGd022670c,F601V7.0
robertagas,2,9,ZTEGcec2cf27,F601V7.0
ilmagdo,2,10,HWTCb669cea0,HS8145V5
tatianespi,2,11,ZTEGc8ffbd80,F680V6.0.03
patrickrm,2,12,ZTEGcec676fb,F601V7.0
lucasmb,2,13,ZTEGcecdc564,F601V7.0
jeffreybarbosa,2,14,HWTC892e3f9c,HG8546M
