DESCRIPTION,PON,NUMERO,SERIAL,MODELO
brunaroa,13,1,ZTEGd0224cc5,F601V7.0
rafaelavod,13,2,ZTEGcec2d0f9,F601V7.0
lferreiracb,13,3,HWTCe235d7a3,HS8145V5
phcardozo,13,4,HWTCb66e65a0,HS8145V5
thaisegs,13,5,HWTCa64c86a2,HS8145V5
edeisonaa,13,6,ZTEGc4ad9f8a,F680V6.0.03
angelasmr,13,7,HWTC85bcca9e,HS8145V
ajanairgm,13,8,ZTEGc4a63f86,F680V6.0.03
evellyntfs,13,9,ZTEGc4adc20e,F680V6.0.03
fericacm,13,10,ZTEGc4a6348a,F680V6.0.03
gleicianegdf,13,11,ZTEGc437ec79,F680V6.0.03
cleitonvsf,13,12,ZTEGc4adb588,F680V6.0.03
emiliala,13,13,HWTCeab9c79f,HS8145V5
juliocrq,13,14,ZTEGc4380aa7,F680V6.0.03
ernandespg,13,15,ZTEGcecdded7,F601V7.0
valeriafa,13,16,ZTEGc8ffbd26,F680V6.0.03
cassiogb,13,17,ZTEGc4adb259,F680V6.0.03
cgiovanaads,13,18,ZTEGc4380d7d,F680V6.0.03
kelsonhms,13,19,HWTC3a7d78a3,HS8145V5
apsantiago,13,20,HWTC84f5559e,HS8145V
carloshfc,13,21,ZTEGc79537ee,F6600V1.0
claudionorbs,13,22,HWTC2d8ab9a3,HS8145V5
renators,13,23,HWTC4f7a7da3,HS8145V5
everlynkcsc,13,24,HWTC13eda7a2,HS8145V5
wesleyab,13,25,FHTT05569488,AN5506-02-B
grrosa,13,26,HWTCa51776a0,HS8145V5
marcilenetl,13,27,HWTC2d8a93a3,HS8145V5
suzanegs,13,28,HWTC0a3d5ca5,HS8145V5
rayanerlb,13,29,HWTCba7ab4a0,HS8145V5
layaneps,13,30,HWTC5c142ba3,HS8145V5
dcorreiras,13,31,FHTT0549fdb0,AN5506-02-B
randerjg,13,32,ZTEGcec989dc,F601V7.0
lucimarpmts,13,33,ZTEGc4a64476,F680V6.0.03
kerennc,13,34,ZTEGc4ada32a,F680V6.0.03
tpiresdprado,13,35,ZTEGc4a63f53,F680V6.0.03
anacrosapv,13,36,ZTEGc4adb176,F680V6.0.03
andressalpgm,13,37,HWTC2d8a97a3,HS8145V5
alinets,13,38,HWTCb0125ca4,HS8145V5
chndsilva,13,39,HWTC317bdba5,HS8145V5
christianjs,13,40,HWTC84ed959e,HS8145V
ibispos,13,41,ZTEGc437dfa4,F680V6.0.03
annaldap,13,42,ZTEGc7953e88,F6600V1.0
icpereira,13,43,ZTEGcec2cfcc,F601V7.0
jpplara,13,44,HWTCb7a223a0,HS8145V5
gabriellaag,13,45,ZTEGc437f0a7,F680V6.0.03
jclairlm,13,46,ZTEGc4380b0c,F680V6.0.03
johnantancs,13,47,ZTEGc8fdb916,F680V6.0.03
gabriellepr,13,48,ZTEGcec66b26,F601V7.0
gabrielmdas,13,49,ZTEGcec66b69,F601V7.0
samirajs,13,50,ZTEGcec67ff7,F601V7.0
carlosdss,13,51,ZTEGcec67fa4,F601V7.0
fabianeosr,13,52,ZTEGcecdbe98,F601V7.0
amandasalves,13,53,ZTEGc437ec76,F680V6.0.03
saulojd,13,54,ZTEGc4380d48,F680V6.0.03
rogeriop,13,55,ZTEGc4380a11,F680V6.0.03
waldirrm,13,56,ZTEGcec67705,F601V7.0
marcelomf,13,57,ZTEGc8ffbd22,F680V6.0.03
leticiarm,13,58,ZTEGc8ffbd23,F680V6.0.03
donaldsonps,13,59,ZTEGc4ada720,F680V6.0.03
denisedss,13,60,ZTEGc4ada191,F680V6.0.03
anacarolinecb,13,61,ZTEGd08902f2,F612V9.2
mariamrss,13,62,ZTEGd0226cd3,F601V7.0
lorrainemb,13,63,ZTEGc4adb553,F680V6.0.03
