DESCRIPTION,PON,NUMERO,SERIAL,MODELO
lgomesa,7,1,HWTCeb12a69f,HS8145V5
wferreirab,7,2,ZTEGc4a65bbe,F680V6.0.03
alcionealvesc,7,3,ZTEGc4ad9393,F680V6.0.03
alexandrejom,7,4,HWTCe21d139f,HS8145V5
galvess,7,5,ZTEGd0226727,F601V7.0
alanmas,7,6,HWTC99202aa3,HS8145V5
wesleylacerdads,7,7,ZTEGcec66b3a,F601V7.0
mariajr,7,8,FHTT07ab5008,AN5506-04-B2
manoelcl,7,9,HWTC91c49ba0,HS8145V5
igrejaeadd,7,10,HWTC2d8a9ca3,HS8145V5
vsuaress,7,11,ZTEGc4ad989b,F680V6.0.03
divinapc,7,12,FHTT14fcb4c0,AN5506-01-A1
andrezasanto,7,13,HWTCd485689f,HS8145V5
smariaca,7,14,HWTC3a63b1a3,HS8145V5
