DESCRIPTION,PON,NUMERO,SERIAL,MODELO
erasmocr,10,1,HWTCb78aeda0,HS8145V5
wellingtonfv,10,2,HWTC407d5da3,HS8145V5
pdsouzagv,10,3,ZTEGc4adae17,F680V6.0.03
ronaldopf,10,4,HWTC931b7aa2,HS8145V5
marajasds,10,5,ZTEGc4a613ab,F680V6.0.03
marciaamn,10,6,HWTCba7ac7a0,HS8145V5
marcosvrr,10,7,ZTEGc4ad98d1,F680V6.0.03
allancm,10,8,ZTEGc4a613a3,F680V6.0.03
amachado,10,9,ZTEGcec67cd5,F601V7.0
jgoncalveslm,10,10,ZTEGc4ada347,F680V6.0.03
lucianamv,10,11,FHTT10da5560,AN5506-01-A1
antonioel,10,12,HWTC69beed9b,HG8546M
rogeriova,10,13,FHTT10dadea8,AN5506-01-A1
paulohgf,10,14,FHTT0507d748,AN5506-01-A1
joaopls,10,15,FHTT04409fd0,AN5506-01-A1
renatams,10,16,ZTEGc8fdb980,F680V6.0.03
celio-casa-fibra,10,17,ZTEGc8ef43c7,F680V6.0.03
diegocesars,10,18,ZTEGc4a64691,F680V6.0.03
mcollazo,10,19,FHTT10dc3030,AN5506-01-A1
everissimoas,10,20,HWTC9921a4a3,HS8145V5
maraligiacc,10,21,ZTEGc8fdc349,F680V6.0.03
gilmarmrj,10,22,ZTEGc4adc26e,F680V6.0.03
lucyeneacs,10,23,HWTC2d8aaea3,HS8145V5
alexsandrofa,10,24,ZTEGc4ad9531,F680V6.0.03
maicomdlb,10,25,ZTEGd089284d,F612V9.2
anapaularf,10,26,ZTEGcecde51c,F601V7.0
zulmash,10,27,ZTEGcecddf66,F601V7.0
paulimargb,10,28,ZTEGcec64992,F601V7.0
tcostasc,10,29,ZTEGcec64982,F601V7.0
fabiosantana,10,30,ZTEGcecdbe5a,F601V7.0
isaiasidm,10,31,ZTEGc8fdb943,F680V6.0.03
ncesarpeixoto,10,32,ZTEGc4ad9c33,F680V6.0.03
mateussv,10,33,ZTEGc8ffbd61,F680V6.0.03
PON[2]-AN5506-04-FAT[44],10,34,ZTEGc437f981,F680V6.0.03
raysampf,10,35,HWTC3b473d9c,HG8546M
crodriguesvilela,10,36,FHTT03efb750,AN5506-01-A1
roliveirasilva,10,37,FHTT9104de28,AN5506-01-A1
mbcunha,10,38,FHTT91060a90,AN5506-01-A1
gustavoldj,10,39,HWTCb1ce2b9d,HS8145V
saulosuju,10,40,ZTEGc4a63ef4,F680V6.0.03
fernandaapagl,10,41,ZTEGc4ad89c3,F680V6.0.03
brunolm,10,42,FHTT101b1c90,AN5506-01-A1
cleriacdsp,10,43,ZTEGc4adad3a,F680V6.0.03
pcunhamss,10,44,FHTT05127980,AN5506-01-A1
