DESCRIPTION,PON,NUMERO,SERIAL,MODELO
nelianecps,9,1,HWTCbb37bc96,HS8145V
PON[1]-AN5506-01-A1[5],9,2,FHTT048b76c0,AN5506-01-A1
rbsartin,9,3,ZTEGc4a613b4,F680V6.0.03
wenderao,9,4,ZTEGc4a62965,F680V6.0.03
alauraos,9,5,HWTCeb28099f,HS8145V5
nadiafc,9,6,ZTEGc4a63f7f,F680V6.0.03
leticiajls,9,7,HWTC85c5a89e,HS8145V
PON[1]-AN5506-04-FAT[17],9,8,ZTEGc79537d8,F6600V1.0
daranhas,9,9,ZTEGc4a613fa,F680V6.0.03
glauberdsa,9,10,ZTEGd0890313,F612V9.2
cleytonon,9,11,FHTT05135668,AN5506-01-A1
celiars,9,12,ZTEGc4adb33c,F680V6.0.03
johnlgv,9,13,ZTEGc8ffbd41,F680V6.0.03
daianehp,9,14,HWTC65b60a2b,HG8546M
joaoprm,9,15,ZTEGcec67cf4,F601V7.0
jesicabs,9,16,HWTC3a598da3,HS8145V5
matheusmoreirad,9,17,ZTEGcecdc29f,F601V7.0
rrodriguesa,9,18,ZTEGc4adb316,F680V6.0.03
berenicesv,9,19,ZTEGc4a63f1b,F680V6.0.03
wcarvalho,9,20,FHTT10a35650,AN5506-01-A1
wsilvas,9,21,FHTT09435130,AN5506-02-B
josebarbosajn,9,22,HWTCb145439d,HS8145V
